태그,앵커,화자,대사,배경,그림,그림애니메이션,bgm,bgs,voice,sfx,자동넘김,화면효과,카메라,ui,진동,파티클,조명,씬전환,변수,조건,효과,종료,선택지,히든선택지
intro,start,아스테리아,"{{playerName}}님, 이제 연속형 템플릿 시나리오를 시작합니다. 오늘은 대부분의 문법을 실제 흐름으로 확인해요.",assets/img/goddess.png,assets/img/goddess.png,fade,play|assets/audio/intro_bgm.mp3|0.62|true,play|assets/audio/wind_loop.mp3|0.25|true,,assets/audio/ui_click.ogg,1200,flash,reset,hud=on;name=on;choices=open,light,snow:on,"tint(#88aaff,0.18,360)",fade-black(420),playerName=순례자;신뢰도=2;별조각=1;경계태세=false;quest_stage=도입,,,,,
intro,story_01,기록관,첫 장면은 자동 넘김으로 이어집니다. 클릭하지 않아도 1.3초 뒤 다음 줄로 진행됩니다.,assets/img/goddess.png,assets/img/goddess.png,float,,,assets/audio/voice_story_start.ogg,,,,"pan(8,-5,360)",choices=open,,,"tint(#95b8ff,0.2,300)",,,,,,,
intro,story_02,아스테리아,카메라를 살짝 당겨서 인물 컷인을 강조해볼게요.,assets/img/goddess.png,assets/img/goddess.png,zoom-in,,,,assets/audio/camera_push.ogg,,,"zoom(1.08,320)",,,snow:on,,,,,,,,
intro,story_03,아스테리아,방금 줄에서 적용한 확대는 다음 연출에서 reset으로 되돌릴 수 있어요.,assets/img/goddess.png,assets/img/goddess.png,float,,,,,,,reset,,,,,,,,,,,
intro,story_04,순례자,오른쪽 숲에서 인기척이 들려. 분위기가 바뀌는 것 같은데?,assets/img/goddess.png,,,,,,assets/audio/leaf_hit.ogg,1200,shake,"pan(-10,-2,260)",,medium,ember:on,"tint(#ffb07f,0.16,260)",fade-white(260),,,경계태세=true,,,
intro,story_05,아스테리아,"맞아요. 여기서는 화면효과(shake), 진동(medium), 파티클(ember)을 동시에 쓰고 있어요.",assets/img/goddess.png,assets/img/goddess.png,shake,,,,,1400,dim,,,heavy,ember:on,"tint(#ff8855,0.24,360)",,,,피로도+1,,,
intro,story_06,기록관,ui 문법으로 이름 표시를 잠깐 숨겼다가 다시 켜보겠습니다.,assets/img/goddess.png,,,,,,,,,,name=off,,,,,,,,,,
intro,story_07,기록관,지금 줄에서 이름 표시를 복구합니다. 그리고 조명도 차분한 톤으로 복귀합니다.,assets/img/goddess.png,,,,,,,,,,name=on,,snow:on,"tint(#7ea3ff,0.18,320)",,,,,,,
intro,story_08,아스테리아,조건 문법도 연속 대화에 자연스럽게 섞을 수 있어요. 다음 줄은 신뢰도 조건으로 열립니다.,assets/img/goddess.png,,,,,,,,,,,,,,,,,,,,
intro,story_09,아스테리아,이 줄은 `신뢰도>=2` 조건을 통과했기 때문에 보이는 줄입니다.,assets/img/goddess.png,,,,,,,,,,,,,,,,신뢰도>=2,별조각+1,,,
intro,story_10,순례자,효과가 누적돼서 별조각이 {{별조각}}이 되었네.,assets/img/goddess.png,,,,,,,,,,,,,,,,,,,감시를 강화한다 => intro#story_11 [효과:경계태세=true] || 기록을 계속 읽는다 => intro#story_11 [효과:신뢰도+1],
intro,story_11,아스테리아,"이제 잠깐 선택지를 보여주지만, 핵심은 계속 연속 서사로 이어집니다.",assets/img/goddess.png,,,,,,,,,,,,,,,,,,,계속 듣는다 => intro#story_12 || 숨 고르기 => intro#story_12 || 기록관에게 질문한다 => intro#branch_question,고신뢰 지름길 => intro#secret_01 [조건:신뢰도>=3] [효과:별조각+2]
intro,story_12,기록관,선택 결과와 상관없이 같은 흐름으로 합류합니다. 이렇게 짧은 상호작용만 넣는 방식이 연속형에 잘 맞습니다.,assets/img/goddess.png,,,,,,,,,"pan(0,-4,240)",,,,,,,,,,본편 유지 => intro#story_13 || 우회 브리핑 듣기 => intro#branch_brief,
intro,story_13,기록관,퀘스트 단계를 문자열로 전이합니다. 다음 줄에서 비교 조건으로 검증하죠.,assets/img/goddess.png,,,,,,,,,,,,,,,,,quest_stage=중반,,다음 진행 => intro#story_14,
intro,story_14,아스테리아,현재 퀘스트 단계는 {{quest_stage}} 입니다. 문자열 상태 머신도 문제없이 동작합니다.,assets/img/goddess.png,,,,,,,,,,,,,,,,quest_stage==중반,,,엔딩 준비 => intro#story_15 || 숨은루트 재확인 => intro#secret_01,
intro,story_15,아스테리아,마지막 전환 연출을 준비합니다. 자동 넘김 후 엔딩으로 넘어가요.,assets/img/goddess.png,,,,,,,1000,flash,"zoom(1.04,260)",,,off,off,fade-black(400),,,,,,
intro,branch_question,기록관,"좋은 질문이에요. 지금 선택은 상태값만 바꾸고, 본 흐름은 그대로 유지합니다.",assets/img/goddess.png,,,,,,assets/audio/ui_click.ogg,,,,,,,,,,,신뢰도+1,,본 흐름 복귀 => intro#story_12,
intro,branch_brief,아스테리아,짧은 우회 브리핑입니다. 선택지는 유지하되 서사는 연속성을 해치지 않게 짧게 끝냅니다.,assets/img/goddess.png,assets/img/goddess.png,float,,,,,,,"zoom(1.06,260)",,,,,,,,,,본 흐름 복귀 => intro#story_13,
intro,end,아스테리아,오늘의 연속형 템플릿 데모는 여기까지입니다. 이 파일을 복사해서 바로 시나리오를 시작해보세요.,assets/img/goddess.png,assets/img/goddess.png,fade,stop,stop,stop,stop,,,reset,hud=on;name=on;choices=open,light,off,off,,,,,예,처음부터 다시 보기 => intro#start,
intro,secret_01,아스테리아,"숨은 루트입니다. 신뢰도 조건을 충족해 들어왔고, 별조각은 {{별조각}}으로 상승했어요.",assets/img/goddess.png,assets/img/goddess.png,zoom-in,,,,assets/audio/secret_bell.ogg,1400,flash,"zoom(1.1,320)",,,snow:on,"tint(#b7a1ff,0.24,360)",fade-white(360),,,,,본편으로 복귀 => intro#story_12,
